score,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
default_policy,1727345189,,False,33,f5f9f_00001,2024-09-26_18-06-29,0.03310728073120117,5.245007514953613,4156193,gpu2gate1,10.64.32.126,5.245007514953613,33
default_policy,1727345189,,False,34,f5f9f_00001,2024-09-26_18-06-29,0.03534078598022461,5.280348300933838,4156193,gpu2gate1,10.64.32.126,5.280348300933838,34
default_policy,1727345189,,False,35,f5f9f_00001,2024-09-26_18-06-29,0.032209157943725586,5.3125574588775635,4156193,gpu2gate1,10.64.32.126,5.3125574588775635,35
default_policy,1727345189,,False,36,f5f9f_00001,2024-09-26_18-06-29,0.03134489059448242,5.343902349472046,4156193,gpu2gate1,10.64.32.126,5.343902349472046,36
default_policy,1727345189,,False,37,f5f9f_00001,2024-09-26_18-06-29,0.025160551071166992,5.369062900543213,4156193,gpu2gate1,10.64.32.126,5.369062900543213,37
default_policy,1727345190,,False,38,f5f9f_00001,2024-09-26_18-06-30,0.030650615692138672,5.399713516235352,4156193,gpu2gate1,10.64.32.126,5.399713516235352,38
default_policy,1727345190,,False,39,f5f9f_00001,2024-09-26_18-06-30,0.03765296936035156,5.437366485595703,4156193,gpu2gate1,10.64.32.126,5.437366485595703,39
default_policy,1727345190,,False,40,f5f9f_00001,2024-09-26_18-06-30,0.041542768478393555,5.478909254074097,4156193,gpu2gate1,10.64.32.126,5.478909254074097,40
default_policy,1727345190,,False,41,f5f9f_00001,2024-09-26_18-06-30,0.03041386604309082,5.5093231201171875,4156193,gpu2gate1,10.64.32.126,5.5093231201171875,41
default_policy,1727345190,,False,42,f5f9f_00001,2024-09-26_18-06-30,0.04357457160949707,5.552897691726685,4156193,gpu2gate1,10.64.32.126,5.552897691726685,42
default_policy,1727345190,,False,43,f5f9f_00001,2024-09-26_18-06-30,0.048047780990600586,5.600945472717285,4156193,gpu2gate1,10.64.32.126,5.600945472717285,43
default_policy,1727345190,,False,44,f5f9f_00001,2024-09-26_18-06-30,0.03361940383911133,5.6345648765563965,4156193,gpu2gate1,10.64.32.126,5.6345648765563965,44
default_policy,1727345190,,False,45,f5f9f_00001,2024-09-26_18-06-30,0.02888774871826172,5.663452625274658,4156193,gpu2gate1,10.64.32.126,5.663452625274658,45
default_policy,1727345190,,False,46,f5f9f_00001,2024-09-26_18-06-30,0.021135807037353516,5.684588432312012,4156193,gpu2gate1,10.64.32.126,5.684588432312012,46
default_policy,1727345190,,False,47,f5f9f_00001,2024-09-26_18-06-30,0.024398088455200195,5.708986520767212,4156193,gpu2gate1,10.64.32.126,5.708986520767212,47
default_policy,1727345190,,False,48,f5f9f_00001,2024-09-26_18-06-30,0.034937143325805664,5.743923664093018,4156193,gpu2gate1,10.64.32.126,5.743923664093018,48
default_policy,1727345190,,False,49,f5f9f_00001,2024-09-26_18-06-30,0.033464908599853516,5.777388572692871,4156193,gpu2gate1,10.64.32.126,5.777388572692871,49
default_policy,1727345190,,False,50,f5f9f_00001,2024-09-26_18-06-30,0.020169734954833984,5.797558307647705,4156193,gpu2gate1,10.64.32.126,5.797558307647705,50
default_policy,1727345190,,False,51,f5f9f_00001,2024-09-26_18-06-30,0.019117116928100586,5.816675424575806,4156193,gpu2gate1,10.64.32.126,5.816675424575806,51
default_policy,1727345190,,False,52,f5f9f_00001,2024-09-26_18-06-30,0.024588346481323242,5.841263771057129,4156193,gpu2gate1,10.64.32.126,5.841263771057129,52
default_policy,1727345190,,False,53,f5f9f_00001,2024-09-26_18-06-30,0.018250703811645508,5.859514474868774,4156193,gpu2gate1,10.64.32.126,5.859514474868774,53
